Node,Max_RRC
EBZX,172
ECA02X,69
ECA03X,112
ECAA01X,259
ECAD02X,66
ECADX,519
ECALX,103
ECAM03X,123
ECAM1X,182
ECAM2X,183
ECAP50XMA,244
ECAX,196
ECDX,60
ECHAX,89
ECHEX,172
ECHIX,151
ECHL01XMA,148
ECHMX,95
ECHW50XMA,305
ECHX,161
ECKX,124
ECLA02X,80
ECLAX,346
ECLD01X,189
ECLS02X,84
ECLSX,133
ECLX,257
ECLYX,113
ECOL01X,125
ECOL02X,177
ECOX,129
ECR02X,220
ECRX,182
ECSX,40
ECW100X,281
ECW101X,678
ECXX,159
ECY02XMA,68
ECYX,101
ECZR01XMA,88
EDAX,109
EDONX,187
EDRT50XMA,416
EDRX,266
EDVX,116
EEAA01X,968
EEAX,225
EEF02X,102
EEFX,184
EEL02X,100
EELK02X,93
EELKX,60
EELMX,71
EELS01X,404
EELX,189
EERX,131
EEX,598
EFA02X,107
EFADX,71
EFALX,163
EFAX,151
EFCKX,175
EFEX,143
EFLX,60
EFMA01X,90
EFMA02X,40
EFMB02X,52
EFMBX,246
EFMC02X,55
EFMCX,306
EFMD02X,42
EFMDX,358
EFMF01X,441
EFMH02X,199
EFMHX,496
EFMI01XMA,480
EFMJX,410
EFMKX,275
EFMM02X,103
EFMMX,586
EFMN01X,236
EFMR01X,404
EFMT50XMA,885
EFO02X,78
EFOX,362
EFSE01X,98
EFSE02X,41
EFTFX,232
EFVX,198
EFWI02X,126
EFWIX,274
EGBZX,150
EGCH01XMA,360
EGCX,1371
EGD01X,501
EGHAX,109
EGHBX,71
EGHCX,142
EGHDX,117
EGHEX,92
EGHFX,79
EGHGX,48
EGHH02X,70
EGHHX,344
EGHIX,116
EGHJX,256
EGHKX,33
EGHLX,50
EGHMX,44
EGHNX,24
EGHOX,30
EGHQX,68
EGHRX,516
EGHZX,67
EGLAX,146
EGLDX,103
EGLX,71
EGPAX,106
EGPBX,256
EGPCX,258
EGPDX,199
EGPEX,361
EGPFA01X,116
EGPFX,216
EGPGX,358
EGPHX,201
EGPIRX,358
EGPJX,449
EGPKX,145
EGPLX,91
EGPMX,140
EGPNG01X,1212
EGPNX,663
EGPOX,77
EGPP02X,159
EGPPX,679
EGPQ02X,238
EGPQX,1310
EGPR01X,120
EGPR02X,80
EGPR03X,100
EGPSX,391
EGPTX,81
EGPU01X,1043
EGPVX,160
EGPWX,302
EGPYX,106
EGR02X,312
EGRIX,212
EGRX,715
EGS02X,98
EGSE50XMA,671
EGSL02XMA,85
EGSLX,152
EGSX,35
EHANX,198
EHASX,88
EHAX,616
EHAYX,103
EHBAX,496
EHBL01XMA,55
EHBX,576
EHCG02X,270
EHCGX,302
EHCL02X,275
EHCL03X,25
EHCLX,119
EHEPX,125
EHEX,66
EHFO01X,239
EHFSX,358
EHHW01X,289
EHIX,387
EHLE02X,107
EHLE03X,87
EHLEX,116
EHLX,320
EHMV01XSC,131
EHMVX,1005
EHMYX,59
EHOAX,165
EHOX,139
